id,descripcion,tipo_datos,requerido,unidad
p_sol_q2,segundo quintil del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_q3,tercer quintil del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_q4,cuarto quintil del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_s,desviación típica del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
q_mar_cv,coeficiente de variación de Pearson de la presión media mensual/anual al nivel del mar,string,False,
q_mar_max,valor máximo de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_md,media aritmética de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_min,valor mínimo de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_mn,mediana de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_n,frecuencia absoluta (nº de años con dato disponible) de la presión media mensual/anual al nivel del mar,string,False,Nº de días
q_mar_q1,primer quintil de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_q2,segundo quintil de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_q3,tercer quintil de la presión media mensual/anual al nivel del mar,string,False,hPa
q_mar_q4,cuarto quintil de la presión media mensual/anual al nivel del mar,string,False,hPa
